,x_pix,y_pix,amplitude,vlsr,sigma_v,labelsDBSCAN
10857,129.0,120.0,8.011691447376734,9.139059433502634,0.1420686976395688,4
10858,130.0,120.0,8.042580073823215,9.117599682127853,0.16073527984451694,4
10859,131.0,120.0,7.795326793761562,9.133844177276634,0.22043580868381124,4
10860,132.0,120.0,6.976991922969343,9.168969866277079,0.2565516623613312,4
10861,133.0,120.0,6.860554320368552,9.194978140751276,0.2642803859231562,4
10862,134.0,120.0,7.162234841383357,9.20853989331001,0.2548579930249551,4
10863,135.0,120.0,7.346654030030563,9.215754549932825,0.24979801870322912,4
10864,136.0,120.0,6.999665666600703,9.22396862972614,0.26405763124119663,4
10865,137.0,120.0,5.894308092388433,9.236711990172775,0.30165548357723454,4
10866,138.0,120.0,4.112557572376283,9.292181099252282,0.39259571490354256,-1
10867,144.0,120.0,3.9252063761786853,10.564528213129789,0.2528049280615845,-1
10868,145.0,120.0,4.366737174529144,10.597536720212592,0.2033459478811895,-1
10869,146.0,120.0,4.599192427073758,10.612381416771061,0.1940170616797657,3
10870,214.0,120.0,2.3892375392511647,8.784649241291657,0.08063851356535458,-1
10871,98.0,121.0,2.6297977787444062,8.995175991495516,0.09506966866394877,-1
10872,106.0,121.0,5.308739942619427,10.052635624601733,0.08618914305458336,-1
10873,107.0,121.0,4.56531333360803,10.038374395751495,0.08571864831981116,0
10874,108.0,121.0,3.8466172757885446,10.034689718634045,0.08866149458279332,-1
10875,109.0,121.0,5.70260027836139,9.694934490460248,0.1153972977483578,0
10876,110.0,121.0,5.799921611957588,9.64246187509748,0.10822373582961183,-1
10877,115.0,121.0,7.7870401408166545,9.556083179494868,0.1075321221470549,-1
10878,116.0,121.0,9.867513290271171,9.56690061218467,0.11775403846028193,-1
10879,117.0,121.0,10.133892677640782,9.56112710380875,0.12781138271058398,-1
10880,119.0,121.0,8.155844233282721,9.416531159648816,0.10605381298373087,-1
10881,120.0,121.0,10.00579959024169,9.391486838563392,0.10956168901995914,-1
10882,121.0,121.0,6.3077126690626235,9.354130239830097,0.09584821429837728,-1
10883,122.0,121.0,5.297536920071427,9.327368335518928,0.10554498899920589,-1
10884,123.0,121.0,5.251233361562906,9.27744437965242,0.11260128430720175,-1
10885,124.0,121.0,5.319162502109887,9.229444707888169,0.10544700642036696,-1
10886,125.0,121.0,5.853845052632543,9.198772541145104,0.11454429096611901,4
10887,126.0,121.0,6.491350034874977,9.177369279878297,0.13097880757615601,4
10888,129.0,121.0,7.589388868595793,9.14154420134672,0.1363617174438399,4
10889,130.0,121.0,7.364841665170346,9.125309400710233,0.13980922466777335,4
10890,131.0,121.0,7.647677749955803,9.138851180641671,0.21060664092723647,4
10891,132.0,121.0,7.003560601822861,9.185249942105614,0.2538835627029861,4
10892,133.0,121.0,6.998194638563546,9.195181675348003,0.24987685654808725,4
10893,134.0,121.0,7.451273456162512,9.197272359105794,0.24091583049795212,4
10894,135.0,121.0,7.544863994796235,9.205914099342122,0.23889830724650102,4
10895,136.0,121.0,7.0841712040274905,9.221638838651332,0.25705475623515295,4
10896,137.0,121.0,5.902765486007826,9.236867736531574,0.29791333083522537,4
10897,138.0,121.0,4.164622294099317,9.305860042526401,0.3788584631899755,-1
